year	stno	totalreg	totalhealth	raneyfolded97	healthagenda97	predictedtotalig	supplytotalhealth	totalhealthsupplysq	partratetotalhealth	ighealthcare	supplydirectpatientcare	dpcsupplysq	partratedpc	igdpcare	supplypharmprod	pharmsupplysq	partratepharmprod	igpharmprod	supplybusiness	businesssupplysq	partratebusness	igbusiness	supplygovt	govsupplysq	partrategov	iggovt	supplyadvocacy	advossq	partrateadvo	ig97advoc	rnmedschools	rnmedschoolssq	rnmedschoolpartrate	rnmedschooligs	healthprofessionals	healthprofessionalssquared	partrateprofessionals	ighealthprofessionals	predictdpcpartrate	predictdpcig	predictprofpartrate	predictprofig	predictmedschoolparttrate	predictmedschoolig	predictadvopartrate	predictadvoig	predictbuspartrate	predictbusig	predictpharmpartrate	predictpharmig	predictgovpartrate	predictgovig	predicttotalpartrate	predicttotalig
1997	1	329	300	0.58	49	51.81	1168	136	2.48	29	1137	129	1.14	13	0	0	0.0	4	0	0	0.0	2	14	0.02	0.0	0	16	256	31.25	5	1	1	100.0	1	12890	16615	0.03	4	1.1753545	23.06905	0.024753736	7.590276	17.385258	0.35454944	31.932634	5.957136	25.78333	2.577814	21.377098	11.33897	14.408517	2.055936	2.4097664	54.200497
1997	2	500	424	0.69	180	99.0	6991	4887	1.09	76	6687	4472	0.51	34	174	30276	10.34	18	51	2601	1.96	1	26	0.07	38.46	10	37	1369	16.22	6	16	256	0.0	0	128980	1663584	0.01	7	0.9154461	49.65869	0.013827915	12.579916	8.078533	1.2693026	26.3669	7.977956	18.0778	7.9640794	15.220026	18.083975	12.612721	2.4340768	1.8230104	99.23289
1997	3	314	263	0.85	137	81.85	4666	2177	1.09	51	4458	1987	0.43	19	78	6084	19.23	15	28	784	14.29	4	80	0.64	2.5	2	14	196	28.57	4	8	64	12.5	1	82140	674698	0.01	6	1.0156195	39.41843	0.017878886	10.68575	12.303666	0.7740485	32.49377	5.760572	21.327652	5.6573644	18.518377	14.44765	5.8445687	3.7760606	2.0473964	81.923904
1997	4	963	834	0.63	220	111.23	9194	8453	1.4	129	8785	7718	0.68	60	229	52441	5.24	12	93	8649	15.05	14	23	0.05	30.43	7	57	3249	31.58	18	7	49	28.57	2	122760	1507002	0.01	16	0.8263168	58.75993	0.014338017	12.337658	12.950488	0.7133287	21.619991	9.82936	13.097912	11.6575365	13.439763	20.07295	13.033128	2.3473601	1.6225454	114.80917
1997	5	2106	1859	0.5	1409	224.14	70014	490196	0.35	247	66960	448364	0.17	112	2288	5234944	2.05	47	315	99225	6.03	19	70	0.49	10.0	7	344	118336	8.72	30	37	1369	5.41	2	749620	56193014	0.0	30	0.34835738	103.461006	0.0057942704	22.47302	5.018232	2.6496649	13.006873	28.53319	7.2695627	20.042309	4.140005	45.09016	6.9287925	3.5738769	0.7522352	228.26758
1997	6	643	554	0.6	153	109.95	8847	7827	1.01	89	8320	6922	0.48	40	340	115600	6.76	23	55	3025	9.09	5	71	0.5	1.41	1	54	2916	12.96	7	7	49	0.0	0	111550	1244340	0.01	13	0.8456361	56.788074	0.015278876	11.893878	12.950488	0.7133287	22.297585	9.556201	17.550375	8.344723	10.08963	23.87776	6.801342	3.5993075	1.6533386	112.40883
1997	7	634	501	0.59	324	101.61	7845	6154	1.7	133	7439	5534	0.9	67	202	40804	10.89	22	36	1296	11.11	4	105	1.1	7.62	8	51	2601	17.65	9	12	144	8.33	1	121110	1466763	0.02	22	0.8829219	52.981014	0.014474764	12.272918	9.980113	1.0195653	22.987333	9.281435	20.155308	6.482505	14.30375	19.105131	3.4574842	4.1929107	1.7438956	105.36637
1997	8	239	204	0.56	40	53.26	1438	207	2.43	35	1365	186	0.88	12	36	1296	33.33	12	14	196	14.29	2	2	0.0	0.0	0	18	324	22.22	4	3	9	0.0	0	22740	51711	0.02	5	1.1639869	24.233288	0.023711406	8.052046	15.801508	0.47308743	31.376902	6.152987	23.486956	4.1548367	20.037767	12.79092	16.318481	1.6465213	2.380743	56.411854
1997	9	1996	1640	0.51	408	234.01	35363	125054	1.01	356	33793	114197	0.63	212	962	925444	4.78	46	317	100489	7.89	25	67	0.45	17.91	12	206	42436	12.62	26	18	324	33.33	6	471270	22209541	0.01	29	0.14929213	127.09924	-0.0011000341	21.533062	7.2859826	1.395754	3.2616847	21.37489	7.3737106	20.03271	-2.6763985	40.01953	7.2730875	3.5080094	0.14466119	238.51976
1997	10	880	732	0.63	157	141.3	13471	18147	1.1	148	12760	16282	0.58	74	360	129600	8.89	32	78	6084	7.69	6	176	3.1	1.14	2	76	5776	22.37	17	21	441	4.76	1	215670	4651355	0.01	16	0.67117083	74.57405	0.007605886	15.660709	6.294957	1.5874093	17.610867	11.5220585	14.734824	10.41541	9.520521	24.53355	-0.6822749	4.653712	1.2670703	142.7612
1997	11	191	168	0.88	448	61.44	2530	640	0.91	23	2423	587	0.37	9	43	1849	13.95	6	28	784	10.71	3	5	0.0	0.0	0	27	729	3.7	1	4	16	0.0	0	30700	94249	0.01	4	1.1120132	29.554926	0.022884695	8.420009	15.049192	0.5327521	28.94296	7.0254784	21.327652	5.6573644	19.781307	13.069825	15.821962	1.7540873	2.2651348	65.23512
1997	12	306	230	0.58	96	62.76	2452	601	3.1	76	2342	548	1.54	36	72	5184	15.28	11	18	324	16.67	3	7	0.0	57.14	4	11	121	90.91	10	2	4	50.0	1	32680	106798	0.03	11	1.1159451	29.152418	0.022681225	8.510815	16.580196	0.41368654	33.345608	5.4643865	22.856024	4.591732	18.732588	14.213428	15.49095	1.825798	2.2732942	64.61155
1997	13	1542	1502	0.8	43	197.41	22121	48934	0.18	40	21076	44420	0.09	18	618	381924	0.97	6	170	28900	2.94	5	96	0.92	2.08	2	124	15376	0.81	1	37	1369	0.0	0	371540	13804197	0.0	8	0.4047061	101.60472	5.8414415E-4	19.812342	5.018232	2.6496649	9.654503	15.511319	7.172213	16.68755	3.1239698	32.178535	4.262034	4.057856	0.68420166	190.05774
1997	14	600	338	0.55	468	129.73	10555	11141	2.48	262	10032	10064	1.72	173	289	83521	8.65	25	45	2025	33.33	15	94	0.88	7.45	7	73	5329	27.4	20	22	484	9.09	2	187610	3519751	0.01	20	0.77570933	63.922718	0.009438586	14.723895	6.017362	1.6518219	18.21147	11.259074	18.889921	7.3817115	11.588566	22.164362	4.4408226	4.027844	1.5046003	124.03159
1997	15	623	538	0.57	156	92.48	5687	3234	1.49	85	5348	2860	0.71	38	140	19600	12.86	18	41	1681	12.2	5	112	1.25	0.0	0	37	1369	21.62	8	9	81	11.11	1	94570	894348	0.02	15	0.97494423	43.57779	0.016756749	11.204106	11.683218	0.83503205	26.3669	7.977956	19.445322	6.985865	16.36042	16.820055	2.869779	4.2875285	1.9472404	89.63487
1997	16	610	503	0.65	158	96.07	5143	2645	2.08	107	4849	2351	1.01	49	123	15129	18.7	23	24	576	33.33	8	103	1.06	2.91	3	35	1225	34.29	12	9	81	0.0	0	89850	807302	0.01	12	0.99763876	41.25731	0.017178845	11.008609	11.683218	0.83503205	26.871305	7.788888	21.930609	5.2356725	16.94204	16.178246	3.636273	4.1628985	2.0002904	85.54771
1997	17	443	354	0.59	17	98.66	7012	4917	1.27	89	6627	4392	0.65	43	139	19321	16.55	23	69	4761	7.25	5	129	1.66	0.78	1	35	1225	20.0	7	13	169	0.0	0	119730	1433527	0.01	10	0.918068	49.39081	0.014589595	12.2186165	9.465158	1.081604	26.871305	7.788888	15.792501	9.6290865	16.39442	16.782482	1.6164656	4.469659	1.8210509	99.38466
1997	18	642	555	0.72	532	106.26	8301	6891	1.05	87	7974	6358	0.58	46	146	21316	13.01	19	41	1681	14.63	6	73	0.53	2.74	2	51	2601	5.88	3	16	256	0.0	0	141790	2010440	0.01	11	0.8601722	55.30409	0.012804227	13.069895	8.078533	1.2693026	22.987333	9.281435	19.445322	6.985865	16.15696	17.045008	6.5844975	3.6397443	1.7023876	108.591446
1997	19	1014	846	0.54	30	139.54	13682	18720	1.23	168	12747	16249	0.75	95	432	186624	8.1	35	68	4624	8.82	6	333	11.09	1.2	4	79	6241	15.19	12	23	529	4.35	1	262550	6893250	0.01	15	0.6716499	74.52528	0.004931057	17.096903	5.76614	1.7164983	17.02242	11.783436	15.913518	9.539817	7.5589986	26.819155	3.7399392	1.9537138	1.2506864	144.06192
1997	20	587	472	0.76	434	124.14	11119	12363	1.03	115	10682	11411	0.58	62	235	55225	7.23	17	61	3721	11.48	7	23	0.05	4.35	1	105	11025	10.48	11	13	169	0.0	0	162850	2652012	0.01	17	0.75003594	66.5403	0.011199844	13.849253	9.465158	1.081604	12.431775	13.981414	16.780216	8.904286	13.250375	20.28577	13.033128	2.3473601	1.457039	127.76409
1997	21	320	261	0.7	138	68.6	2937	863	2.01	59	2828	800	1.03	29	44	1936	20.45	9	13	169	53.85	7	24	0.06	0.0	0	22	484	27.27	6	6	36	0.0	0	46450	215760	0.02	8	1.0924561	31.556797	0.021290075	9.13437	13.623683	0.65287274	30.281643	6.542546	23.646437	4.044663	19.744776	13.109577	12.905678	2.3727908	2.222796	68.472755
1997	22	960	783	0.51	210	182.9	19880	39521	0.89	177	19101	36485	0.5	95	502	252004	6.18	31	95	9025	8.42	8	48	0.23	8.33	4	115	13225	15.65	18	19	361	0.0	0	301920	9115569	0.01	21	0.4608696	95.92683	0.003058851	18.178392	6.9292674	1.4593753	10.909271	14.79466	12.891545	11.816692	5.7829213	28.928362	9.580477	3.0561001	0.81772417	178.9911
1997	23	1191	1028	0.53	428	124.36	8637	7460	1.89	163	8072	6516	0.81	65	355	126025	9.01	32	58	3364	20.69	12	81	0.66	13.58	11	58	3364	37.93	22	13	169	23.08	3	174990	3062150	0.01	18	0.8560451	55.725445	0.010319407	14.283719	9.465158	1.081604	21.396828	9.920055	17.162148	8.626215	9.661811	24.370455	5.755174	3.7910666	1.6721184	110.94639
1997	24	1117	895	0.56	214	127.39	10407	10831	2.13	222	9789	9582	1.19	116	302	91204	15.56	47	94	8836	18.09	17	122	1.49	9.02	11	76	5776	22.37	17	24	576	0.0	0	194600	3786916	0.01	14	0.78542984	62.93137	0.008965817	14.962669	5.5412917	1.7814385	17.610867	11.5220585	12.994379	11.737304	11.199976	22.606722	2.128059	4.39589	1.5172107	123.04333
1997	25	301	246	0.68	319	75.55	4049	1639	1.36	55	3819	1458	0.71	27	84	7056	9.52	8	30	900	23.33	7	81	0.66	2.47	2	27	729	14.81	4	8	64	0.0	0	78650	618582	0.01	7	1.0453794	36.374184	0.018200073	10.538171	12.303666	0.7740485	28.94296	7.0254784	21.030369	5.86593	18.305117	14.681054	5.755174	3.7910666	2.1091475	77.18088
1997	26	436	378	0.65	255	59.07	2099	441	2.76	58	1963	385	1.27	25	54	2916	18.52	10	11	121	36.36	4	58	0.34	3.45	2	11	121	36.36	4	2	4	0.0	0	27210	74038	0.05	13	1.1344533	27.257547	0.02324544	8.259251	16.580196	0.41368654	33.345608	5.4643865	23.967497	3.8231747	19.380909	13.505855	8.344029	3.2999823	2.3104222	61.775887
1997	27	414	329		222	73.46	3021	913	2.81	85	2838	805	1.16	33	88	7744	21.59	19	23	529	8.7	2	28	0.08	3.57	1	37	1369	37.84	14	7	49	14.29	1	61540	378717	0.02	15	1.0919718	31.60638	0.019813549	9.801714	12.950488	0.7133287	26.3669	7.977956	22.083096	5.129299	18.16347	14.836203	12.319764	2.495363	2.2141063	69.13768
1997	28	497	426	0.55	109	134.17	12289	15102	0.58	71	11637	13542	0.27	32	410	168100	2.44	10	64	4096	4.69	3	85	0.72	4.71	4	71	5041	14.08	10	22	484	0.0	0	247680	6134538	0.0	12	0.71317965	70.29615	0.0057270504	16.658823	6.017362	1.6518219	18.618624	11.082859	16.404577	9.178937	8.143861	26.133272	5.3214846	3.8719401	1.360857	135.33858
1997	29	412	350	0.71	68	64.63	1143	131	5.42	62	1063	113	3.01	32	19	361	52.63	10	13	169	23.08	3	24	0.06	8.33	2	19	361	26.32	5	5	25	20.0	1	25830	66719	0.03	9	1.1790582	22.689701	0.023388827	8.195437	14.323252	0.5926805	31.10106	6.250644	23.646437	4.044663	20.665974	12.108947	12.905678	2.3727908	2.412473	53.99444
1997	30	266	225	0.73	98	62.19	2597	674	1.58	41	2248	505	1.25	28	82	6724	4.88	4	16	256	12.5	2	232	5.38	0.0	0	14	196	28.57	4	5	25	0.0	0	38250	146306	0.01	3	1.120521	28.683973	0.022113468	8.764721	14.323252	0.5926805	32.49377	5.760572	23.170092	4.3740444	18.376097	14.603343	-1.2738712	4.284793	2.258132	65.77033
1997	31	857	698	0.64	743	173.93	19401	37640	0.82	159	18521	34303	0.52	96	574	329476	5.05	29	77	5929	16.88	13	118	1.39	3.39	4	94	8836	6.38	6	17	289	5.88	1	255310	6518320	0.0	10	0.47820622	94.17158	0.0053125294	16.885635	7.669071	1.3323964	14.262538	13.066226	14.849546	10.329561	4.0907993	30.981697	2.4095244	4.356715	0.8478575	176.51752
