st_fip	female	hrs_allev	evol_course	phase1	senior_c	ph_senior	notest_p	ph_notest_p	idsci_trans	biocred3	certified	degr3	confident
2	0	8.0	0.0	0.20109490079858713	1.0	0.2010949	1.0	0.2010949	0.96394604	2.0	0.0	2.0	0.0
2	0	3.0	0.0	0.20109490079858713	0.0	0.0	1.0	0.2010949	0.54221964	2.0	1.0	2.0	0.0
2	0	26.0	1.0	0.20109490079858713	0.0	0.0	1.0	0.2010949	0.96394604	2.0	0.0	0.0	2.0
2	0	44.0	1.0	0.20109490079858713	1.0	0.2010949	1.0	0.2010949	0.17106636	1.0	1.0	0.0	2.0
1	1	8.0	0.0	-1.3663942965742752	1.0	-1.3663943	0.0	0.0	0.68522286	2.0	0.0	0.0	1.0
1	1	4.0	0.0	-1.3663942965742752	0.0	0.0	0.0	0.0	0.33910823	2.0	1.0	2.0	0.0
1	0	8.0	0.0	-1.3663942965742752	1.0	-1.3663943	0.0	0.0	0.81813014	2.0	0.0	1.0	0.0
1	1	4.0	0.0	-1.3663942965742752	-2.0	2.7327886	0.0	0.0	0.96394604	1.0	1.0	0.0	0.0
1	0	8.0	1.0	-1.3663942965742752	-1.0	1.3663943	0.0	0.0	1.1965652E-14	1.0	1.0	0.0	0.0
1	1	8.0	0.0	-1.3663942965742752	1.0	-1.3663943	0.0	0.0	0.66203886	2.0	0.0	0.0	1.0
1	1	8.0	0.0	-1.3663942965742752	-2.0	2.7327886	0.0	0.0	0.96394604	1.0	0.0	0.0	0.0
1	0	5.5	0.0	-1.3663942965742752	-2.0	2.7327886	0.0	0.0	0.96394604	2.0	1.0	1.0	1.0
1	1	8.0	0.0	-1.3663942965742752	1.0	-1.3663943	0.0	0.0	0.24098648	2.0	1.0	0.0	0.0
1	1	21.0	1.0	-1.3663942965742752	1.0	-1.3663943	0.0	0.0	0.96394604	2.0	1.0	2.0	0.0
1	1	12.0	0.0	-1.3663942965742752	1.0	-1.3663943	0.0	0.0	0.96394604	2.0	1.0	1.0	1.0
5	0	9.5	0.0	0.2778899488776864	0.0	0.0	1.0	0.27788994	0.35786313	1.0	1.0	1.0	1.0
5	1	19.5	0.0	0.2778899488776864	0.0	0.0	0.0	0.0	0.96394604	2.0	1.0	1.0	1.0
5	0	9.5	0.0	0.2778899488776864	1.0	0.27788994	0.0	0.0	0.4531683	2.0	1.0	0.0	1.0
5	1	8.0	1.0	0.2778899488776864	0.0	0.0	1.0	0.27788994	0.96394604	2.0	1.0	0.0	1.0
5	0	12.0	0.0	0.2778899488776864	-2.0	-0.5557799	0.0	0.0	0.4343516	1.0	1.0	0.0	1.0
5	1	19.5	0.0	0.2778899488776864	-1.0	-0.27788994	0.0	0.0	0.68522286	1.0	1.0	1.0	1.0
5	0	8.0	0.0	0.2778899488776864	1.0	0.27788994	0.0	0.0	0.41518804	1.0	1.0	1.0	0.0
